Branch_ID	Branch_Label	Input_Type	Model	Test_AUC	Test_AUPRC	Test_Threshold	Test_ACC	Test_MCC	Test_Recall	Test_Specificity	Test_Precision	Test_F1	Test_TP	Test_FP	Test_TN	Test_FN	Balanced_Score	CV_AUC	CV_MCC	Train_AUC	Train_ACC	Train_MCC	Step2_Dir
0.4	肠道细菌属	gut_bacteria	nnet	0.97	0.98998021978022	0.832423496476893	0.918918918918919	0.812518602978713	0.96	0.833333333333333	0.923076923076923	0.941176470588235	24	2	10	1	0.908218359869399	0.863333333333333	0.571175315942098	0.997217806041335	0.962962962962963	0.919985156661754	run_model_0.4_gut_bacteria_step2
0.5	肠道真菌属	gut_fungi	kknn	0.951666666666667	0.958585185185185	0.592279496294408	0.918918918918919	0.812518602978713	0.96	0.833333333333333	0.923076923076923	0.941176470588235	24	2	10	1	0.898398608139647	1	0.979284291400159	1	1	1	run_model_0.5_gut_fungi_step2
0.1	非靶代谢	metabolome	xgboost	0.963333333333333	0.989142279821628	0.55400039255619	0.891891891891892	0.748405712906516	0.96	0.75	0.888888888888889	0.923076923076923	24	3	9	1	0.878682897292146	0.929523809523809	0.63164617759678	1	1	1	run_model_0.1_metabolome_step2
0.4	肠道细菌属	gut_bacteria	xgboost	0.943333333333333	0.974653039976879	0.468592137098312	0.891891891891892	0.748405712906516	0.96	0.75	0.888888888888889	0.923076923076923	24	3	9	1	0.868958435299908	0.871904761904762	0.420671495363339	1	1	1	run_model_0.4_gut_bacteria_step2
0.1	非靶代谢	metabolome	svm	0.956666666666667	0.985330072763453	0.64466750043206	0.864864864864865	0.699480881992856	0.88	0.833333333333333	0.916666666666667	0.897959183673469	22	2	10	3	0.854314542065402	0.975238095238095	0.758401271676407	0.982909379968203	0.935185185185185	0.866501006765967	run_model_0.1_metabolome_step2
0.5	肠道真菌属	gut_fungi	xgboost	0.943333333333333	0.972445247769087	0.807642102241516	0.864864864864865	0.699480881992856	0.88	0.833333333333333	0.916666666666667	0.897959183673469	22	2	10	3	0.847670300815684	0.996190476190476	0.738061128607648	0.996422893481717	0.962962962962963	0.919985156661754	run_model_0.5_gut_fungi_step2
0.4	肠道细菌属	gut_bacteria	svm	0.93	0.973643728252424	0.664251911478821	0.864864864864865	0.699480881992856	0.88	0.833333333333333	0.916666666666667	0.897959183673469	22	2	10	3	0.841730224839851	0.922857142857143	0.704493859416633	0.986089030206677	0.953703703703704	0.893735759398396	run_model_0.4_gut_bacteria_step2
0.4	肠道细菌属	gut_bacteria	rf	0.906666666666667	0.943894239179405	0.520048927575809	0.864864864864865	0.686202685708914	0.92	0.75	0.884615384615385	0.901960784313726	23	3	9	2	0.82509538168682	0.942380952380952	0.594954337740984	1	1	1	run_model_0.4_gut_bacteria_step2
0.1	非靶代谢	metabolome	kknn	0.95	0.981022513655894	0.415837044327496	0.837837837837838	0.617849905516806	0.96	0.583333333333333	0.827586206896552	0.888888888888889	24	5	7	1	0.818474268289353	0.971428571428571	0.846595994484447	1	1	1	run_model_0.1_metabolome_step2
0.1	非靶代谢	metabolome	adaboost	0.946666666666667	0.985371428571429	0.499983495903459	0.837837837837838	0.61840096465515	0.92	0.666666666666667	0.851851851851852	0.884615384615385	23	4	8	2	0.81738458473355	0.970952380952381	0.772940568609891	1	1	1	run_model_0.1_metabolome_step2
0.4	肠道细菌属	gut_bacteria	kknn	0.91	0.961723402461131	0.657827042499404	0.837837837837838	0.649924346608665	0.84	0.833333333333333	0.91304347826087	0.875	21	2	10	4	0.810735367111765	0.852142857142857	0.56876024786336	0.981717011128776	0.935185185185185	0.866501006765967	run_model_0.4_gut_bacteria_step2
