20250729_jinyu -> clients/jinyu_20250729/legacy_mirror/20250729_jinyu	11	629 kB
data_for_analysis/金域_脚本 -> clients/jinyu_scripts/legacy_mirror/data_for_analysis__金域_脚本	10	513 kB
lina_20251208/20260403_lilei -> clients/lilei_20260403/legacy_mirror/lina_20251208__20260403_lilei	1861	429 MB
lina_20251208 -> clients/lina_20251208_legacy/legacy_mirror/lina_20251208_root	2156	9451 MB
lina_20260515 -> clients/lina_20260515/legacy_mirror/lina_20260515	1204	169 MB
