Model	Metric	AUC	Threshold	Reason	NoteFile
xgboost	Test_AUC	0.40625	0.500001	模型效果低于 SHAP 阈值；Test_AUC=0.4062 < 0.5000	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20251208/20260403_lilei/reproduce_formal_case_positive_fullrerun_20260527_0156/run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/xgboost/SHAP_SKIPPED.md
rf	Test_AUC	0.453125	0.500001	模型效果低于 SHAP 阈值；Test_AUC=0.4531 < 0.5000	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20251208/20260403_lilei/reproduce_formal_case_positive_fullrerun_20260527_0156/run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/rf/SHAP_SKIPPED.md
kknn	Test_AUC	0.5	0.500001	模型效果低于 SHAP 阈值；Test_AUC=0.5000 < 0.5000	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20251208/20260403_lilei/reproduce_formal_case_positive_fullrerun_20260527_0156/run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/kknn/SHAP_SKIPPED.md
rpart	Test_AUC	0.40625	0.500001	模型效果低于 SHAP 阈值；Test_AUC=0.4062 < 0.5000	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20251208/20260403_lilei/reproduce_formal_case_positive_fullrerun_20260527_0156/run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/rpart/SHAP_SKIPPED.md
adaboost	Test_AUC	0.390625	0.500001	模型效果低于 SHAP 阈值；Test_AUC=0.3906 < 0.5000	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20251208/20260403_lilei/reproduce_formal_case_positive_fullrerun_20260527_0156/run_model_1.3_step2/step3_shap_formal_case_control_force_20260527/adaboost/SHAP_SKIPPED.md
