Branch_ID	Branch_Label	SHAP_Status	Model_Count	Status_Rows	SHAP_Excel_Count	Non_Completed	Models	Status_File	Summary_File
0.1	非靶代谢	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.1_metabolome_step2/step3_shap_formal_case_control_force_20260526/step3_shap_status.tsv	run_model_0.1_metabolome_step2/step3_shap_formal_case_control_force_20260526/step3_shap_summary.xlsx
0.2	口腔细菌属	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.2_oral_bacteria_step2/step3_shap_formal_case_control_force_20260526/step3_shap_status.tsv	run_model_0.2_oral_bacteria_step2/step3_shap_formal_case_control_force_20260526/step3_shap_summary.xlsx
0.3	口腔真菌属	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.3_oral_fungi_step2/step3_shap_formal_case_control_force_20260526/step3_shap_status.tsv	run_model_0.3_oral_fungi_step2/step3_shap_formal_case_control_force_20260526/step3_shap_summary.xlsx
0.4	肠道细菌属	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.4_gut_bacteria_step2/step3_shap_formal_case_control_force_20260526/step3_shap_status.tsv	run_model_0.4_gut_bacteria_step2/step3_shap_formal_case_control_force_20260526/step3_shap_summary.xlsx
0.5	肠道真菌属	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.5_gut_fungi_step2/step3_shap_formal_case_control_force_20260526/step3_shap_status.tsv	run_model_0.5_gut_fungi_step2/step3_shap_formal_case_control_force_20260526/step3_shap_summary.xlsx
0.6	5组学单模型入选biomarkers联合	partial_or_failed	9	27	9	9	adaboost,glmnet,kknn,naive_bayes,nnet,rf,rpart,svm,xgboost	run_model_0.6_joint_selected_biomarkers_step2/step3_shap_formal_case_control_force_20260526/step3_shap_status.tsv	run_model_0.6_joint_selected_biomarkers_step2/step3_shap_formal_case_control_force_20260526/step3_shap_summary.xlsx
