Branch	Model	Feature	Description	Importance_Available
run_model_0.1	svm	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	svm	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	svm	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	svm	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	svm	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	svm	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	svm	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	svm	Genus_Neisseria	Genus_Neisseria	TRUE
run_model_0.1	svm	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	TRUE
run_model_0.1	svm	Genus_Sutterella	Genus_Sutterella	TRUE
run_model_0.1	svm	Genus_Agathobaculum	Genus_Agathobaculum	TRUE
run_model_0.1	svm	Genus_Bifidobacterium	Genus_Bifidobacterium	TRUE
run_model_0.1	svm	Genus_Desulfovibrio	Genus_Desulfovibrio	TRUE
run_model_0.1	svm	Genus_Enterobacteriaceae_unclassified	Genus_Enterobacteriaceae_unclassified	TRUE
run_model_0.1	svm	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	Genus_Eubacterium_coprostanoligenes_group_Incertae_Sedis	TRUE
run_model_0.1	svm	Genus_Eubacterium_ventriosum_group	Genus_Eubacterium_ventriosum_group	TRUE
run_model_0.1	svm	Genus_Faecalibacterium	Genus_Faecalibacterium	TRUE
run_model_0.1	svm	Genus_Faecalimonas	Genus_Faecalimonas	TRUE
run_model_0.1	svm	Genus_Fusicatenibacter	Genus_Fusicatenibacter	TRUE
run_model_0.1	svm	Genus_Gemella	Genus_Gemella	TRUE
run_model_0.1	svm	Genus_Ligilactobacillus	Genus_Ligilactobacillus	TRUE
run_model_0.1	svm	Genus_Massilia	Genus_Massilia	TRUE
run_model_0.1	svm	Genus_Parabacteroides	Genus_Parabacteroides	TRUE
run_model_0.1	svm	Genus_Ruminococcaceae_unclassified	Genus_Ruminococcaceae_unclassified	TRUE
run_model_0.1	naive_bayes	Genus_Escherichia_Shigella	Genus_Escherichia_Shigella	TRUE
run_model_0.1	naive_bayes	Genus_Lachnospira	Genus_Lachnospira	TRUE
run_model_0.1	naive_bayes	Genus_Lachnospiraceae_FCS020_group	Genus_Lachnospiraceae_FCS020_group	TRUE
run_model_0.1	naive_bayes	Genus_Lachnospiraceae_ND3007_group	Genus_Lachnospiraceae_ND3007_group	TRUE
run_model_0.1	naive_bayes	Genus_Lachnospiraceae_UCG_004	Genus_Lachnospiraceae_UCG_004	TRUE
run_model_0.1	naive_bayes	Genus_Oscillibacter	Genus_Oscillibacter	TRUE
run_model_0.1	naive_bayes	Genus_Sutterellaceae_unclassified	Genus_Sutterellaceae_unclassified	TRUE
run_model_0.1	naive_bayes	Genus_Blautia	Genus_Blautia	TRUE
run_model_0.1	naive_bayes	Genus_Butyribacter	Genus_Butyribacter	TRUE
run_model_0.1	naive_bayes	Genus_Collinsella	Genus_Collinsella	TRUE
run_model_0.1	naive_bayes	Genus_Enterobacter	Genus_Enterobacter	TRUE
run_model_0.1	naive_bayes	Genus_Lachnospiraceae_GCA_900066575	Genus_Lachnospiraceae_GCA_900066575	TRUE
run_model_0.1	naive_bayes	Genus_Lachnospiraceae_unclassified	Genus_Lachnospiraceae_unclassified	TRUE
run_model_0.1	naive_bayes	Genus_Neisseria	Genus_Neisseria	TRUE
run_model_0.1	naive_bayes	Genus_Saccharimonadaceae_Incertae_Sedis	Genus_Saccharimonadaceae_Incertae_Sedis	TRUE
run_model_0.1	naive_bayes	Genus_Sutterella	Genus_Sutterella	TRUE
run_model_0.1	naive_bayes	Genus_Agathobaculum	Genus_Agathobaculum	TRUE
run_model_0.1	naive_bayes	Genus_Bifidobacterium	Genus_Bifidobacterium	TRUE
run_model_0.1	naive_bayes	Genus_Desulfovibrio	Genus_Desulfovibrio	TRUE
