Branch	Model	Train_AUC	Test_AUC	Test_AUC_Reversed	Test_AUC_Direction_Flag	Selected_Biomarker_Count	Selected_Biomarkers
run_model_0.2	xgboost	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	rf	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	svm	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	naive_bayes	1	0.983333333333333	0.0166666666666666	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	kknn	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	rpart	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	adaboost	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.2	nnet	1	1	0	OK	23	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate; 4-hydroxymandelic acid; 8-Geranylesculetin; Capillarisin; Crocetindial; Cysteinyl-Leucine; Ectoine; Ellagic acid; FA 4_2;O3; Ganaxolone; Indole-3-methanamine; Inosine 5'-monophosphate (IMP); N-(5-Phospho-D-ribosyl)anthranilate; Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; selenodiglutathione; UDP-alpha-D-GlcNAc3NAcA; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	glmnet	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
run_model_0.3	xgboost	1	1	0	OK	24	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; 1,4-Dioxo-1,4-dihydronaphthalene-2-carboxylic acid; 1-deoxy-L-glycero-tetrulose 4-phosphate; 1-Hydroxyphenanthrene; 10-Acetoxytoxol; 2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Oxo-3-hydroxy-4-phosphobutanoic acid; 3,3',4',5,6,7,8-Heptahydroxyflavone; Acetylpterosin C; Beta-D-Fructose 6-phosphate; Crocetindial; Deoxyuridine; desethylzaleplon; Ectoine; Ellagic acid; FA 4_2;O3; Glutamylserine; Inosine 5'-monophosphate (IMP); Neryl diphosphate; Phosphodimethylethanolamine; PROPAMOCARB; Selenocysteine; selenodiglutathione; UDP-N-acetyl-beta-L-fucosamine
