Branch	Model	Train_AUC	Test_AUC	Test_AUC_Reversed	Test_AUC_Direction_Flag	Selected_Biomarker_Count	Selected_Biomarkers
run_model_1.0	adaboost	1	0.484375	0.515625	AUC_BELOW_0.5_REVERSED_RANKING_ON_THIS_SPLIT	15	Clinical_Age; Clinical_BMI; Clinical_Drinking; Clinical_ECOG; Clinical_LMR; Clinical_M_category; Clinical_NLR; Clinical_N_category; Clinical_PIV; Clinical_PLR; Clinical_SII; Clinical_SIRI; Clinical_Sex; Clinical_Smoking; Clinical_T_category
run_model_1.3	nnet	0.83936170212766	0.484375	0.515625	AUC_BELOW_0.5_REVERSED_RANKING_ON_THIS_SPLIT	17	1,2-Dihydroxyfluorene; 11,20-Dihydroxysugiol; 3-Hydroxy-5-methyl-L-tyrosine; 5-Hydroxyxanthotoxin; 5-Isopropyl-2-(2-methylpropyl)-2-cyclohexen-1-one; Capsiamide; Dodecanedioic acid; FA 18_2;O; Galactosylsphingosine; Isopropyl alcohol; L-Norleucine; linolenate(18_3); Pentadecanal; Phenylacetylglycine; Phloretin; Piperitenone; (S,E)-Lyratol propanoate
run_model_1.4	rpart	0.914893617021277	0.453125	0.546875	AUC_BELOW_0.5_REVERSED_RANKING_ON_THIS_SPLIT	10	Clinical_Age; GenusDelta_Akkermansia; GenusDelta_Butyricicoccaceae_UCG_009; GenusDelta_Colidextribacter; GenusDelta_Coprococcus; GenusDelta_Intestinimonas; GenusDelta_Marvinbryantia; GenusDelta_Oscillibacter; GenusDelta_Pseudomonas; GenusDelta_Streptococcus
run_model_1.6	rpart	0.997872340425532	0.40625	0.59375	AUC_BELOW_0.5_REVERSED_RANKING_ON_THIS_SPLIT	14	1,24,25-trihydroxyvitamin D3 delta; 1,3,6,8-Naphthalenetetrol delta; 5,10-Methenyl-tetrahydrofolate delta; 5-Isopropyl-2-(2-methylpropyl)-2-cyclohexen-1-one delta; Abienol delta; alpha-Hydroxyisobutyric acid delta; Avocadienofuran delta; Capsiamide delta; dTDP-3-methyl-4-oxo-alpha-D-ribopyranose delta; EDDA delta; FA 18_1 delta; Frangulanine delta; IDP delta; S-(2-Methylpropionyl)-dihydrolipoamide-E delta
