Branch_ID	Branch_Label	Branch_Dir	Model	Parameter	Value
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	kknn	distance	2.06421980448067
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	kknn	kernel	rectangular
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	rpart	xval	0
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	rpart	cp	0.0204948180714934
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	rpart	maxdepth	3
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	rpart	minbucket	6
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	adaboost	I	95
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	nnet	MaxNWts	5000
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	nnet	size	20
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	nnet	decay	0.000917038375105105
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	nnet	maxit	460
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	glmnet	alpha	0.852875783108175
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	glmnet	lambda	0.00334423744377328
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	glmnet	use_pred_offset	TRUE
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	glmnet	standardize	TRUE
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	glmnet	thresh	0.000000174028635793651
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	glmnet	maxit	9243
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	eta	0.0183728364645503
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	max_depth	9
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	nrounds	251
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	nthread	1
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	verbose	0
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	verbosity	0
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	min_child_weight	1.04641365515999
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	subsample	0.662172906333581
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	xgboost	colsample_bytree	0.971077728783712
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rf	importance	impurity
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rf	num.threads	1
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rf	num.trees	683
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rf	mtry	14
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rf	max.depth	14
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	rf	min.node.size	10
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	svm	cost	24.1972715752644
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	svm	kernel	radial
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	svm	type	C-classification
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	svm	gamma	0.000645587893139462
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	naive_bayes	laplace	1.49376617395319
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	kknn	k	11
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	kknn	distance	2.26362824300304
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	kknn	kernel	gaussian
