Branch_ID	Branch_Label	Branch_Dir	Flowchart	Input_File	Map_File	Samples_Total	Features_Original	Split_Ratio	Train_N	Test_N	Feature_Method	Knee_Method	Selected_Features	Use_LOOCV	LOOCV_Scope	Inner_CV	Outer_CV	Models	Best_Model_By_CE	Param_n_features	Param_feature_fraction	Param_tune_evals	Param_tune_batch_size	Param_feature_combine_method	Param_model_subset	Param_use_smote	Param_smote_k	Param_smote_dup_size	Param_seed
0.1	非靶代谢	run_model_0.1_metabolome_step2	TRUE	OTU_tax.xls	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20260515/v0.2.2_inputs_gp01_hc_af/map-group_gp01_hc_af_common_145.txt	145	59	3/4	108	37	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	22	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	kknn	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.2	口腔细菌属	run_model_0.2_oral_bacteria_step2	TRUE	OTU_tax.xls	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20260515/v0.2.2_inputs_gp01_hc_af/map-group_gp01_hc_af_common_145.txt	145	144	3/4	108	37	MultiMethod_majority(boruta+rfe+xgboost)	default	18	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	xgboost	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.3	口腔真菌属	run_model_0.3_oral_fungi_step2	TRUE	OTU_tax.xls	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20260515/v0.2.2_inputs_gp01_hc_af/map-group_gp01_hc_af_common_145.txt	145	159	3/4	108	37	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	17	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.4	肠道细菌属	run_model_0.4_gut_bacteria_step2	TRUE	OTU_tax.xls	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20260515/v0.2.2_inputs_gp01_hc_af/map-group_gp01_hc_af_common_145.txt	145	210	3/4	108	37	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	22	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	adaboost	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.5	肠道真菌属	run_model_0.5_gut_fungi_step2	TRUE	OTU_tax.xls	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20260515/v0.2.2_inputs_gp01_hc_af/map-group_gp01_hc_af_common_145.txt	145	119	3/4	108	37	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	18	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	kknn	15	0.5	20	5	majority	all	FALSE	5	1	115702
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	TRUE	OTU_tax.xls	/Users/colinliu/Desktop/mlr3_docker_tutorial/lina_20260515/v0.2.2_inputs_gp01_hc_af/map-group_gp01_hc_af_common_145.txt	145	97	3/4	108	37	MultiMethod_majority(boruta+rfe+lasso+xgboost)	default	18	FALSE	outer	3-fold	5-fold	glmnet, xgboost, rf, svm, naive_bayes, kknn, rpart, adaboost, nnet	glmnet	15	0.5	20	5	majority	all	FALSE	5	1	115702
