feature_id	raw_id	raw_name	mz	rt	class	sub_class
Metabolite_M271T318	M271T318	Estrone	271.1645	317.6	Steroids and steroid derivatives	Estrane steroids
Metabolite_M290T106	M290T106	7-Hydroxymethyl-12-methylbenz[a]anthracene	290.1591	106.5	Phenanthrenes and derivatives	
Metabolite_M205T552	M205T552	8-Methylthio-2-octanoic acid	205.0856	552.1		
Metabolite_M297T496	M297T496	Versicolorin B	297.0811	496		
Metabolite_M257T360	M257T360	3-Oxo-5alpha-steroid	257.2217	360.5		
Metabolite_M201T360_2	M201T360_2	Pentalen-13-al	201.1675	359.6		
Metabolite_M152T42	M152T42	4-hydroxymandelic acid	152.0357	42.2	Phenols	1-hydroxy-2-unsubstituted benzenoids
Metabolite_M140T49	M140T49	2-Hydroxybenzaldehyde	140.068	49	Organooxygen compounds	Carbonyl compounds
Metabolite_M195T486	M195T486	4-hydroxy-4-methylglutamate	195.1012	486.2		
Metabolite_M358T245	M358T245	3-Hydroxyquinine	358.2057	245	Cinchona alkaloids	
Metabolite_M370T689	M370T689	Cholestan-3-one	370.3523	689.1		
Metabolite_M295T47_1	M295T47_1	5,10-dihydro-9-dimethylallylphenazine-1-carboxylic acid	294.8658	47.1		
Metabolite_M786T577_1	M786T577_1	Menaquinone-9	785.6386	577.3		
Metabolite_M689T584_2	M689T584_2	PC(P-16_0_14_1(9Z))	688.5274	584.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M263T59	M263T59	Glutamylaspartic acid	263.0873	59.3	Peptidomimetics	Hybrid peptides
Metabolite_M119T196	M119T196	Benzeneethanamine, a-methyl-	119.0729	196.2		
Metabolite_M681T393_1	M681T393_1	8-Prenylnaringenin	681.269	392.9		
Metabolite_M171T42_1	M171T42_1	Glyceraldehyde 3-phosphate	171.0054	42.2	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
Metabolite_M607T55	M607T55	Narcissin	607.1661	54.5		
Metabolite_M197T350	M197T350	1-(2,4,5-Trihydroxyphenyl)-1-butanone	197.0807	350.3	Organooxygen compounds	Carbonyl compounds
Metabolite_M481T268	M481T268	5alpha-Pregnan-3beta,20alpha-diol disulfate	481.2581	268.4	Steroids and steroid derivatives	Sulfated steroids
Metabolite_M226T84	M226T84	D-erythro-D-galacto-octitol	226.0834	83.6	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
Metabolite_M131T62	M131T62	2,6-Diaminohexanal	131.0814	62.4	Organonitrogen compounds	Amines
Metabolite_M574T560_2	M574T560_2	LysoPC(20_0_0_0)	574.3848	560.1	Glycerophospholipids	Glycerophosphocholines
Metabolite_M163T240	M163T240	Umbelliferone	163.0388	239.7	Coumarins and derivatives	Hydroxycoumarins
Metabolite_M147T73_1	M147T73_1	2-Phenyl-2-butenal	147.0439	72.8	Benzene and substituted derivatives	Phenylacetaldehydes
Metabolite_M219T375	M219T375	Calamensesquiterpinenol	219.1741	375.1	Organooxygen compounds	Alcohols and polyols
Metabolite_M219T358	M219T358	2-(3-Hydroxy-4-methylphenyl)-5-methyl-4-hexen-3-one	219.1741	358.1	Prenol lipids	Monoterpenoids
Metabolite_M146T80	M146T80	(5S)-5-ammonio-3-oxohexanoate	146.081	80		
Metabolite_M160T86	M160T86	Aminopropylcadaverine	160.0755	85.6	Organonitrogen compounds	Amines
Metabolite_M587T389_2	M587T389_2	Phycocyanobilin	587.2856	389.4		
Metabolite_M152T179	M152T179	Cathine	152.1068	178.6		
Metabolite_M177T326	M177T326	1,4,5-Naphthalenetriol	177.0544	326.4	Naphthalenes	Naphthols and derivatives
Metabolite_M518T536_1	M518T536_1	PC-M5	518.3041	536.2	Naphthopyrans	
Metabolite_M179T458	M179T458	5-Phenylvaleric acid	179.1064	458.1		
Metabolite_M242T441	M242T441	5,10-Pentadecadien-1-ol	242.2111	440.9	Fatty Acyls	Fatty alcohols
Metabolite_M174T279	M174T279	2-Decanone	174.1486	279.3	Organooxygen compounds	Carbonyl compounds
Metabolite_M181T52	M181T52	Norecasantalic acid	181.008	52.2	Prenol lipids	Monoterpenoids
Metabolite_M163T413	M163T413	4-Hydroxyphenylpyruvic acid	163.1115	413.3	Benzene and substituted derivatives	Phenylpyruvic acid derivatives
Metabolite_M367T162_1	M367T162_1	2-(S-Glutathionyl)acetyl chloride	367.148	162.3	Dihydrofurans	Furanones
Metabolite_M193T415	M193T415	Allyl phenoxyacetate	193.1584	414.6	Benzene and substituted derivatives	Phenoxyacetic acid derivatives
Metabolite_M190T73	M190T73	Quisqualic_acid	190.1069	73.1		
Metabolite_M200T360	M200T360	1-Tridecene	200.1642	359.6	Unsaturated hydrocarbons	Unsaturated aliphatic hydrocarbons
Metabolite_M209T443	M209T443	Primin	209.1169	443.4		
Metabolite_M234T326	M234T326	12-Hydroxydodecanoic acid	234.206	325.8	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives
Metabolite_M187T81	M187T81	alpha-L-Rhamnose	187.0574	81		
Metabolite_M107T322	M107T322	(2R*,3R*)-1,2,3-Butanetriol	107.0701	322.4	Organooxygen compounds	Alcohols and polyols
Metabolite_M177T62	M177T62	2-Isopropylmalic acid	177.0867	61.5	Fatty Acyls	Fatty acids and conjugates
Metabolite_M167T486	M167T486	3-Phenoxypropionic acid	167.07	486.3	Benzene and substituted derivatives	3-phenoxypropionic acids
