feature_id	raw_id	raw_name	mz	rt	class	sub_class
Metabolite_M258T77	M258T77	Tetrahydroneopterin	258.1094	77.5	Pteridines and derivatives	Pterins and derivatives
Metabolite_M279T95	M279T95	4'-O-Methylequol	279.1002	95.2	Isoflavonoids	O-methylated isoflavonoids
Metabolite_M789T655	M789T655	PC(20_0_16_1(9Z))	788.6193	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M352T414	M352T414	4,21-Dehydrocorynantheine aldehyde	352.2234	414.2		
Metabolite_M572T560_2	M572T560_2	LysoPC(22_4(7Z,10Z,13Z,16Z)_0_0)	572.3732	560.1	Glycerophospholipids	Glycerophosphocholines
Metabolite_M334T373	M334T373	Sorgolactone	334.2364	373.4	Prenol lipids	Terpene lactones
Metabolite_M308T654	M308T654	Abienol	308.2936	653.5		
Metabolite_M114T215	M114T215	2,5-Dihydro-2,4,5-trimethyloxazole	114.0909	214.8	Azolines	Oxazolines
Metabolite_M300T221	M300T221	Vitamin A2 aldehyde	300.2005	220.9	Prenol lipids	Retinoids
Metabolite_M343T669	M343T669	2-Hydroxy-6-tridecylbenzoic acid	343.2621	668.5	Benzene and substituted derivatives	Benzoic acids and derivatives
Metabolite_M789T623_2	M789T623_2	PC(18_0_18_1(11Z))	788.6195	622.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M317T587	M317T587	1-Hydroxy-1-phenyl-3-octadecanone	317.2462	587.3	Fatty Acyls	Fatty alcohols
Metabolite_M417T387	M417T387	Beta-tocopherol	417.3346	386.5	Prenol lipids	Quinone and hydroquinone lipids
Metabolite_M789T579_2	M789T579_2	PC(18_1(9Z)_18_0)	788.6196	578.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M570T498	M570T498	LysoPC(22_5_0_0)	570.3578	498.1	Glycerophospholipids	Glycerophosphocholines
Metabolite_M315T380	M315T380	Cannabidiol	315.1326	380.2		
Metabolite_M315T343	M315T343	Laccaic acid D	315.1326	342.9	Anthracenes	Anthracenecarboxylic acids and derivatives
Metabolite_M613T392_2	M613T392_2	Tetrahydrofolyl-[Glu](2)	613.3087	392	Pteridines and derivatives	Pterins and derivatives
Metabolite_M324T570	M324T570	Sagittariol	324.2883	569.5	Prenol lipids	Diterpenoids
Metabolite_M476T467	M476T467	Quasiprotopanaxatriol	476.2751	467.3	Prenol lipids	Triterpenoids
Metabolite_M559T640	M559T640	Albanol B	559.1284	640.3	Organooxygen compounds	Carbonyl compounds
Metabolite_M302T469	M302T469	Oxymorphone	302.304	469.5	Phenanthrenes and derivatives	
Metabolite_M356T618	M356T618	Cetoleic acid	356.3507	617.6	Fatty Acyls	Fatty acids and conjugates
Metabolite_M328T167	M328T167	Blepharin	328.1376	167.2	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
Metabolite_M796T552_1	M796T552_1	PC(16_1(9Z)_22_2(13Z,16Z))	795.5934	551.7	Glycerophospholipids	Glycerophosphocholines
Metabolite_M328T656	M328T656	Stearoylethanolamide	328.3195	656.4	Organonitrogen compounds	Amines
Metabolite_M373T427	M373T427	12-Ketodeoxycholic acid	373.272	427	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
Metabolite_M373T374	M373T374	12alpha-hydroxy-3-oxo-5beta-cholan-24-oic Acid	373.272	374	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
Metabolite_M310T344	M310T344	Octanoylcarnitine	310.2003	344.4	Fatty Acyls	Fatty acid esters
Metabolite_M512T636	M512T636	5-Methyltricosanoylcarnitine	512.4649	636.2	Fatty Acyls	Fatty acid esters
Metabolite_M230T415	M230T415	Avocadienofuran	230.2018	414.5	Heteroaromatic compounds	
Metabolite_M328T95	M328T95	Naloxone	328.1375	94.5	Phenanthrenes and derivatives	
Metabolite_M100T109	M100T109	Methylpyrrolidone	100.0752	108.6		
Metabolite_M789T656_1	M789T656_1	PC(20_5(5Z,8Z,11Z,14Z,17Z)_18_1(9Z))	788.555	655.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M667T53_2	M667T53_2	NADHX	667.1128	52.7	Purine nucleotides	Purine nucleotide sugars
Metabolite_M310T690	M310T690	16beta-Hydroxysteroid	310.3089	689.5		
Metabolite_M785T409	M785T409	PC(18_4(6Z,9Z,12Z,15Z)_22_5(7Z,10Z,13Z,16Z,19Z))	784.5678	409.2	Glycerophospholipids	Glycerophosphocholines
Metabolite_M476T268_1	M476T268_1	Terpendole I	476.3006	268.1		
Metabolite_M566T502_1	M566T502_1	Diadinoxanthin	566.3156	501.9		
Metabolite_M326T606	M326T606	Oleoylethanolamide	326.3037	606.4	Organonitrogen compounds	Amines
Metabolite_M550T276	M550T276	3-hydroxyechinenone	550.3903	276.4		
Metabolite_M352T601	M352T601	FA 20_5;O2	352.3192	600.9		
Metabolite_M545T559_2	M545T559_2	Hovenidulcigenin A	545.3501	559	Prenol lipids	Terpene lactones
Metabolite_M883T257_6	M883T257_6	PC(22_6(4Z,7Z,10Z,13Z,16Z,19Z)_22_4(7Z,10Z,13Z,16Z))	882.6053	256.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M796T623_1	M796T623_1	PC(18_1(9Z)_20_2(11Z,14Z))	795.594	622.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M570T532_3	M570T532_3	(3Z)-Phycoerythrobilin	570.3581	531.8		
Metabolite_M793T303_2	M793T303_2	Anhydrovinblastin	793.4128	303.3		
Metabolite_M443T430	M443T430	Pectachol	443.2305	430.3	Coumarins and derivatives	
Metabolite_M375T52_1	M375T52_1	Neodiospyrin	375.0067	51.8	Naphthalenes	Naphthoquinones
Metabolite_M547T279	M547T279	Ubiquinone 6	547.3309	279	Prenol lipids	Quinone and hydroquinone lipids
Metabolite_M282T48	M282T48	beta-D-Glucopyranosyl anthranilate	282.0956	48.4		
Metabolite_M785T527_2	M785T527_2	PC(22_5(4Z,7Z,10Z,13Z,16Z)_18_4(6Z,9Z,12Z,15Z))	784.5684	526.9	Glycerophospholipids	Glycerophosphocholines
Metabolite_M128T42_4	M128T42_4	S-Methyl methanesulfinothioate	128.0191	42.2	Thiosulfinic acid esters	
Metabolite_M212T388	M212T388	(1R,10aS)-1,4,10,10a-tetrahydrophenazine-1-carboxylic acid	212.0194	387.8		
Metabolite_M496T536_2	M496T536_2	1-Palmitoylphosphatidylcholine	496.3426	535.7	Glycerophospholipids	Glycerophosphocholines
Metabolite_M835T622_2	M835T622_2	PC(18_2(9Z,12Z)_22_4(7Z,10Z,13Z,16Z))	834.6055	622.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M506T533	M506T533	LysoPC(0_0_18_0)	506.3634	533.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M785T637	M785T637	PC(20_5(5Z,8Z,11Z,14Z,17Z)_20_4(8Z,11Z,14Z,17Z))	784.5685	637	Glycerophospholipids	Glycerophosphocholines
Metabolite_M229T58	M229T58	Euxanthone	229.1533	57.6		
Metabolite_M237T274	M237T274	Dihydro-4-mercapto-3(2H)-furanone	237.1691	273.7	Dihydrofurans	Furanones
Metabolite_M934T537_2	M934T537_2	trans,octacis-Decaprenylphospho-beta-D-ribofuranose	933.6399	536.8		
Metabolite_M647T387	M647T387	N-Jasmonoylisoleucine	647.4227	386.7	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M760T656_2	M760T656_2	PC(18_3(6Z,9Z,12Z)_15_0)	759.5601	655.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M805T622_2	M805T622_2	PC 36_4	804.5562	622.3		
Metabolite_M452T477	M452T477	LysoPE(16_1(9Z)_0_0)	452.2744	476.9	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M620T307_2	M620T307_2	10-Formyl-THF-L-glutamate	620.2461	307.3		
Metabolite_M467T590	M467T590	Vitamin K1 2,3-epoxide	467.376	590.3	Prenol lipids	Quinone and hydroquinone lipids
Metabolite_M138T70	M138T70	1,4-Dithiothreitol	138.0489	70.5	Organooxygen compounds	Alcohols and polyols
Metabolite_M786T413	M786T413	PC(18_3(9Z,12Z,15Z)_20_5(5Z,8Z,11Z,14Z,17Z))	785.6005	413.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M224T256	M224T256	Dumetorine	224.1267	255.7	Pyrans	Pyranones and derivatives
Metabolite_M760T578_1	M760T578_1	PC(18_2(9Z,12Z)_P-16_0)	759.5598	578.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M781T622_3	M781T622_3	PC(18_1(11Z)_18_4(6Z,9Z,12Z,15Z))	780.5588	622.3	Glycerophospholipids	Glycerophosphocholines
Metabolite_M170T33	M170T33	4-Hydroxy-alpha-oxo-1H-indole-3-acetonitrile	169.9783	33.1		
Metabolite_M781T655_1	M781T655_1	PC(18_3(6Z,9Z,12Z)_18_2(9Z,12Z))	780.5589	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M124T580	M124T580	Physoperuvine	124.0861	580.3	Tropane alkaloids	
Metabolite_M332T467	M332T467	Progesterone	332.2606	466.6	Steroids and steroid derivatives	Pregnane steroids
Metabolite_M676T63	M676T63	selenodiglutathione	676.0447	63.1	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M812T438_2	M812T438_2	Minopentol	811.619	438.1		
Metabolite_M468T469_2	M468T469_2	LysoPC(14_0_0_0)	468.3053	469.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M127T33	M127T33	1H-Imidazole-1-acetic acid	126.9713	33.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M243T394	M243T394	gamma-Curcumene	243.2872	394		
Metabolite_M330T444	M330T444	18-Hydroperoxyoctadeca-2,4-dienoic acid	330.245	444.4	Fatty Acyls	Lineolic acids and derivatives
Metabolite_M360T261_1	M360T261_1	2-[4-(3,4-Methylenedioxyphenyl)butyl]-4(1H)-quinolinone	360.2367	260.8	Quinolines and derivatives	Quinolones and derivatives
Metabolite_M787T454_1	M787T454_1	PC(P-18_0_22_0)	786.585	454	Glycerophospholipids	Glycerophosphocholines
Metabolite_M246T378	M246T378	2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2,4-dienoate	246.1961	378.4		
Metabolite_M787T579_2	M787T579_2	PC(24_0_P-16_0)	786.5851	578.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M417T271	M417T271	chrysin 8-C-glucoside	417.2301	270.5		
Metabolite_M778T373_3	M778T373_3	Thyroxine	777.6995	372.7	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M249T313	M249T313	gamma-Aminobutyryllysine	249.1692	313.2	Peptidomimetics	Hybrid peptides
Metabolite_M787T656_2	M787T656_2	PC(24_1(15Z)_15_0)	786.5852	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M814T623_3	M814T623_3	PC(18_4(6Z,9Z,12Z,15Z)_22_4(7Z,10Z,13Z,16Z))	813.6673	622.7	Glycerophospholipids	Glycerophosphocholines
Metabolite_M304T429	M304T429	Clofarabine	304.2293	429.2	Purine nucleosides	Purine 2'-deoxyribonucleosides
Metabolite_M681T393_2	M681T393_2	2-N-Acetyl-6-deamino-6-hydroxyparomomycin II	681.283	392.9		
Metabolite_M814T687	M814T687	PC(22_5(4Z,7Z,10Z,13Z,16Z)_18_3(6Z,9Z,12Z))	813.6671	687.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M430T339	M430T339	N-Oleoyl phenylalanine	430.2933	339.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M785T656_3	M785T656_3	PC(14_1(9Z)_22_2(13Z,16Z))	784.5909	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M593T330_2	M593T330_2	CE(3M5)	593.3428	329.5	Steroids and steroid derivatives	Steroid esters
Metabolite_M281T119	M281T119	gamma-L-Glutamyl-L-pipecolic acid	281.1127	118.6	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M247T245	M247T245	2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline	247.1738	244.7	Benzene and substituted derivatives	Diphenylmethanes
Metabolite_M542T505_1	M542T505_1	Cucurbitacin B	542.3041	505.2	Steroids and steroid derivatives	Cucurbitacins
Metabolite_M361T549	M361T549	N6-cis-p-Coumaroylserotonin	361.221	548.7	Indoles and derivatives	Tryptamines and derivatives
Metabolite_M510T569_2	M510T569_2	LysoPC(17_0_0_0)	510.3593	569	Glycerophospholipids	Glycerophosphocholines
Metabolite_M811T662_3	M811T662_3	PC(18_0_20_4(8Z,11Z,14Z,17Z))	810.6069	662.3	Glycerophospholipids	Glycerophosphocholines
Metabolite_M437T466	M437T466	2'-O-Methylcajanone	437.1925	466.2	Isoflavonoids	Isoflavans
Metabolite_M171T42_2	M171T42_2	2-Oxo-3-hydroxy-4-phosphobutanoic acid	171.043	41.9	Keto acids and derivatives	Short-chain keto acids and derivatives
Metabolite_M585T311_1	M585T311_1	Mg-protoporphyrin IX	585.2662	310.8		
Metabolite_M480T570_1	M480T570_1	LysoPE(18_1(9Z)_0_0)	480.341	570.4	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M279T52_2	M279T52_2	Pisatoside	279.1892	51.7	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
Metabolite_M207T336	M207T336	3-Methylbutyl 2-furanbutanoate	207.1237	336.4	Fatty Acyls	Fatty acid esters
Metabolite_M789T687	M789T687	PC(18_1(11Z)_18_0)	788.6228	686.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M124T614	M124T614	L-Histidinol	124.0859	613.8	Organonitrogen compounds	Amines
Metabolite_M783T476	M783T476	PC(O-22_0_18_3(6Z,9Z,12Z))	782.5547	475.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M263T258	M263T258	Prolylphenylalanine	263.1385	258.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M760T656_3	M760T656_3	PC(18_3(9Z,12Z,15Z)_18_4(6Z,9Z,12Z,15Z))	759.5835	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M359T52_1	M359T52_1	5-Methoxy-galloyl-1,4-galactarolactone	359.0431	51.8	Benzene and substituted derivatives	Benzoic acids and derivatives
Metabolite_M809T622_3	M809T622_3	PC(22_5(7Z,10Z,13Z,16Z,19Z)_16_0)	808.5918	622.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M791T622_2	M791T622_2	PC(20_2(11Z,14Z)_18_3(9Z,12Z,15Z))	790.5811	622.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M522T559_2	M522T559_2	LysoPC(18_1(11Z)_0_0)	522.3598	558.9	Glycerophospholipids	Glycerophosphocholines
Metabolite_M558T662_2	M558T662_2	TG(8_0_8_0_13_0)	558.4775	662.1	Glycerolipids	Triradylcglycerols
Metabolite_M809T655_2	M809T655_2	PC(20_3(8Z,11Z,14Z)_18_2(9Z,12Z))	808.5919	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M346T211	M346T211	Guanosine 2',3'-cyclic phosphate	346.2208	211.5	Sphingolipids	Glycosphingolipids
Metabolite_M381T48	M381T48	6-Thioxanthine 5'-monophosphate	381.0225	48	Diazines	Pyrimidines and pyrimidine derivatives
Metabolite_M548T516	M548T516	LysoPC(20_2(11Z,14Z)_0_0)	548.3605	515.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M660T62_2	M660T62_2	UDP-N-acetylglucosamine enolpyruvate	660.0895	61.9		
Metabolite_M274T414	M274T414	Fenpropidin	274.2553	414.3	Benzene and substituted derivatives	Phenylpropanes
Metabolite_M833T622_2	M833T622_2	PC(18_1(9Z)_20_3(5Z,8Z,11Z))	832.5899	622.3	Glycerophospholipids	Glycerophosphocholines
Metabolite_M992T536_4	M992T536_4	JI-20B	991.681	535.7		
Metabolite_M783T415	M783T415	PC(22_6(4Z,7Z,10Z,13Z,16Z,19Z)_18_4(6Z,9Z,12Z,15Z))	782.5553	414.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M209T184	M209T184	4-Hydroxydebrisoquine	209.1378	183.7	Tetrahydroisoquinolines	
Metabolite_M810T655	M810T655	PC(DiMe(11,3)_MonoMe(9,5))	809.6002	655.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M437T514	M437T514	Clionasterol	437.3714	514.5	Steroids and steroid derivatives	Stigmastanes and derivatives
Metabolite_M337T52	M337T52	8-Geranylesculetin	337.0607	52.3		
Metabolite_M565T279_1	M565T279_1	24-Acetyl- 25-cinnamoylvulgaroside	565.3575	279		
Metabolite_M281T265_1	M281T265_1	13-Apo-beta-carotenone	281.185	265		
Metabolite_M460T466_2	M460T466_2	3-O-Acetylepisamarcandin	460.2651	466.4	Coumarins and derivatives	
Metabolite_M521T648_2	M521T648_2	DG(i-14_0_0_0_i-13_0)	521.4225	648	Glycerolipids	Diradylglycerols
Metabolite_M499T536_1	M499T536_1	LysoPC(15_0_0_0)	499.3459	535.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M170T56	M170T56	2-(1-Methylethyl)-4-propylthiazole	170.0386	56.4	Azoles	Thiazoles
Metabolite_M160T33	M160T33	Allantoic acid	159.9699	33	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M629T53_2	M629T53_2	Neryl diphosphate	629.1502	53.2		
Metabolite_M153T42	M153T42	Selenocysteine	153.0326	42.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M479T494_1	M479T494_1	Orlistat	479.2903	494.3	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M332T53	M332T53	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	332.0562	53.5		
Metabolite_M809T593_3	M809T593_3	PC(18_1(9Z)_20_4(8Z,11Z,14Z,17Z))	808.5929	592.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M665T689_1	M665T689_1	Paliperidone Palmitate	665.4501	689	Pyridopyrimidines	
Metabolite_M302T336	M302T336	Texasin	302.1205	336.4		
Metabolite_M759T686_2	M759T686_2	PC(20_4(8Z,11Z,14Z,17Z)_18_4(6Z,9Z,12Z,15Z))	758.5557	686.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M759T656_2	M759T656_2	PC(18_3(6Z,9Z,12Z)_20_5(5Z,8Z,11Z,14Z,17Z))	758.5557	655.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M114T260	M114T260	4-(Aminobutyl)guanidine	114.1275	260	Organonitrogen compounds	Guanidines
Metabolite_M415T261	M415T261	Epigallocatechin gallate	415.252	261.2	Flavonoids	Flavans
Metabolite_M250T233	M250T233	FA 16_3;O	250.1902	232.8		
Metabolite_M599T399_1	M599T399_1	Idoxanthin	599.2806	399	Prenol lipids	Tetraterpenoids
Metabolite_M291T409	M291T409	Tetraprenol	291.2712	409		
Metabolite_M279T275	M279T275	2-Deamino-2-hydroxy-6-dehydroparomamine	279.1522	274.7		
Metabolite_M585T57_1	M585T57_1	2-hydroxyflutamide	585.1826	56.5	Benzene and substituted derivatives	Trifluoromethylbenzenes
Metabolite_M469T469_1	M469T469_1	Kanamycin X	469.3082	469.4		
Metabolite_M646T586	M646T586	monacolin L acid	645.5022	586.1		
Metabolite_M340T407	M340T407	15(S)-Hydroxyeicosatrienoic acid	340.2811	407.4	Fatty Acyls	Eicosanoids
Metabolite_M431T301_1	M431T301_1	N-Nonanoylglycine	431.2343	301.3	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M810T438_2	M810T438_2	PC(MonoMe(9,5)_DiMe(9,5))	809.6013	437.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M378T430	M378T430	aurachin C epoxide	378.2388	429.8		
Metabolite_M350T268	M350T268	Fumigaclavine C	350.2051	268.5		
Metabolite_M836T622	M836T622	PC(DiMe(9,3)_MonoMe(11,5))	835.5809	622.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M259T48	M259T48	10-Acetoxytoxol	259.0273	47.9	Benzene and substituted derivatives	Acetophenones
Metabolite_M118T578	M118T578	L-2-Amino-3-oxobutanoic acid	118.085	578.3	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M118T639	M118T639	Isovaline	118.085	639.2		
Metabolite_M473T592	M473T592	6-Deoxocastasterone	473.344	592.2	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
Metabolite_M141T42_2	M141T42_2	2-Methyl-3-hydroxybutyric acid	141.0507	42	Fatty Acyls	Fatty acids and conjugates
Metabolite_M256T495	M256T495	C16 Sphinganine	256.2607	495.5		
Metabolite_M353T48	M353T48	4-Hydroxyaminoquinoline N-oxide	352.8975	47.6		
Metabolite_M351T242	M351T242	8(R)-Hydroperoxylinoleic acid	351.2413	241.9	Fatty Acyls	Lineolic acids and derivatives
Metabolite_M397T601	M397T601	Stenocereol	397.3785	601	Steroids and steroid derivatives	Cholestane steroids
Metabolite_M502T494_3	M502T494_3	LysoPE(0_0_20_4(5Z,8Z,11Z,14Z))	502.3007	493.8	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M807T622_3	M807T622_3	PC(18_3(6Z,9Z,12Z)_20_3(8Z,11Z,14Z))	806.5783	622.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M655T280	M655T280	all-trans-Heptaprenyl diphosphate	655.2835	280.2	Prenol lipids	Polyprenols
Metabolite_M788T623_2	M788T623_2	PC(P-18_0_18_2(9Z,12Z))	787.5872	622.7	Glycerophospholipids	Glycerophosphocholines
Metabolite_M807T655_2	M807T655_2	PS(20_3(5Z,8Z,11Z)_18_4(6Z,9Z,12Z,15Z))	806.5784	655.5	Glycerophospholipids	Glycerophosphoserines
Metabolite_M245T244	M245T244	hydroxyisovaleroyl carnitine	245.1356	244.1	Fatty Acyls	Fatty acid esters
Metabolite_M813T623_2	M813T623_2	PC(18_0_18_0)	812.6231	622.9	Glycerophospholipids	Glycerophosphocholines
Metabolite_M425T577_1	M425T577_1	(S)-3',4',5,7-Tetrahydroxy-5',8-diprenylflavanone	425.2119	577.1	Flavonoids	Flavans
Metabolite_M156T196	M156T196	Mechlorethamine	156.0386	196.1	Organonitrogen compounds	Nitrogen mustard compounds
Metabolite_M759T623_3	M759T623_3	Lecithin	758.578	622.7		
Metabolite_M132T578	M132T578	5-Aminolevulinic acid	132.1004	578.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M118T144	M118T144	Trimethylglycine	118.0849	144.4		
Metabolite_M118T436	M118T436	N-Acetylglycine	118.0849	435.5	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M118T236	M118T236	N-Methyl-a-aminoisobutyric acid	118.0849	236.3	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M118T254	M118T254	Isoindole	118.0849	254.3	Isoindoles and derivatives	Isoindoles
Metabolite_M316T53	M316T53	Ganaxolone	316.0825	53.4	Steroids and steroid derivatives	Pregnane steroids
Metabolite_M522T623_2	M522T623_2	1-oleoyl-GPC (18_1)	522.3614	623	Glycerophospholipids	Glycerophosphocholines
Metabolite_M478T494_2	M478T494_2	LysoPE(18_2_0_0)	478.2983	494.3	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M525T371	M525T371	LysoPC(20_5)	525.3274	371	Glycerophospholipids	Glycerophosphocholines
Metabolite_M281T56	M281T56	Nigellic acid	281.1416	56	Prenol lipids	Sesquiterpenoids
Metabolite_M246T387	M246T387	Bisnortilidin	246.1517	387.4	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M795T656_2	M795T656_2	PC(20_0_18_3(6Z,9Z,12Z))	794.615	655.6	Glycerophospholipids	Glycerophosphocholines
Metabolite_M343T410	M343T410	19-Hydroxytestosterone	343.2957	410.4	Indoles and derivatives	
Metabolite_M502T494_2	M502T494_2	LysoPE(0_0_20_4(8Z,11Z,14Z,17Z))	502.2869	493.8	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M123T42_1	M123T42_1	N-Nitroso-pyrrolidine	123.0402	42	Pyrrolidines	
Metabolite_M112T33_3	M112T33_3	Dimethyldisulfide	112.0173	33.1	Organic disulfides	Dialkyldisulfides
Metabolite_M250T414	M250T414	O-Desmethyltramadol	250.1772	414.3	Benzene and substituted derivatives	Cyclohexylphenols
Metabolite_M599T399_2	M599T399_2	Mg-Protoporphyrin IX 13-monomethyl ester	599.2938	398.9		
Metabolite_M236T388	M236T388	N,N-Didesmethyltramadol	236.1617	388	Phenol ethers	Anisoles
Metabolite_M795T475	M795T475	PC(20_1(11Z)_18_2(9Z,12Z))	794.6152	474.8	Glycerophospholipids	Glycerophosphocholines
Metabolite_M353T52_2	M353T52_2	Pctmn	353.0371	52.2		
Metabolite_M544T559_3	M544T559_3	2-Hexaprenyl-3-methyl-6-methoxy-1,4 benzoquinone	544.346	558.8	Prenol lipids	Quinone and hydroquinone lipids
Metabolite_M310T425	M310T425	Dicyclomine	310.2703	424.8	Carboxylic acids and derivatives	Carboxylic acid derivatives
Metabolite_M184T333	M184T333	N-Propionylalanine	184.1694	333.2	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Metabolite_M480T532_1	M480T532_1	LysoPE(0_0_18_1(9Z))	480.3026	532	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M537T49	M537T49	Naringin	537.1901	48.7	Flavonoids	Flavonoid glycosides
Metabolite_M788T438	M788T438	PC(18_1(9Z)_P-18_1(11Z))	787.6227	438.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M564T279_3	M564T279_3	dTDP-4-oxo-6-deoxy-D-glucose	564.3673	279.1	Pyrimidine nucleotides	Pyrimidine nucleotide sugars
Metabolite_M546T602_2	M546T602_2	3-Hexaprenyl-4,5-Dihydroxybenzoic acid	546.4126	601.8	Prenol lipids	Polyprenylphenols
Metabolite_M629T53_1	M629T53_1	5'-Phosphoribosyl-N-formylglycinamide	629.1364	53.2	Glycinamide ribonucleotides	
Metabolite_M769T233_3	M769T233_3	PE-NMe2(16_1(9Z)_20_3(8Z,11Z,14Z))	768.5443	232.9	Glycerophospholipids	Glycerophosphoethanolamines
Metabolite_M238T345	M238T345	Elymoclavine	238.1197	345.1	Ergoline and derivatives	Clavines and derivatives
Metabolite_M222T360	M222T360	Procarbazine	222.1461	359.7	Benzene and substituted derivatives	Benzoic acids and derivatives
Metabolite_M491T661_1	M491T661_1	Camelliagenin C	491.367	660.8	Prenol lipids	Triterpenoids
Metabolite_M568T529_2	M568T529_2	LysoPC(22_6_0_0)	568.3468	528.5	Glycerophospholipids	Glycerophosphocholines
Metabolite_M325T360	M325T360	(x)-p-Menth-1-en-4-yl 5-isopropyl-2-methylphenyl ether	325.2479	359.9	Prenol lipids	Monoterpenoids
Metabolite_M135T42	M135T42	Dihydroasparagusic acid	134.9916	42.3	Carboxylic acids and derivatives	Carboxylic acids
Metabolite_M795T637	M795T637	PC(20_0_18_3(9Z,12Z,15Z))	794.6157	637.4	Glycerophospholipids	Glycerophosphocholines
Metabolite_M406T49	M406T49	dUDP	406.036	48.8	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides
Metabolite_M281T276	M281T276	desethylzaleplon	281.132	276	Diazines	Pyrimidines and pyrimidine derivatives
Metabolite_M834T622_3	M834T622_3	PC(14_1(9Z)_24_0)	833.6061	622.3	Glycerophospholipids	Glycerophosphocholines
Metabolite_M645T53	M645T53	UDP-2-acetamido-4-(D-alanylamino)-2,4,6-trideoxy-alpha-D-glucose	645.1287	53.3		
Metabolite_M153T45	M153T45	Phosphodimethylethanolamine	152.9469	44.6	Organic phosphoric acids and derivatives	Phosphate esters
Metabolite_M371T68	M371T68	D-glycero-D-manno-Heptose 1,7-bisphosphate	371.0187	68.1		
